state,18-44,45-64,65+
Alabama,23.7,34.7,47.8
Alaska,12.8,25,40.1
Arizona,18.6,25.1,40.3
Arkansas,22.4,37.3,48.4
California,16.2,25.6,37.6
Colorado,16.3,18.5,31.5
Connecticut,16,21.6,34.4
Delaware,19.2,23.6,38.5
District of Columbia,15.1,28.1,33.8
Florida,19.6,28.8,39.5
Georgia,18.3,27.1,41.2
Hawaii,13.8,18.3,34.9
Idaho,22.5,28.8,44.8
Illinois,13.7,24.6,47
Indiana,20.3,28.8,43.9
Iowa,16.5,22.1,37
Kansas,19.6,26.5,43.1
Kentucky,22.5,40,52.8
Louisiana,25.9,35.8,47.8
Maine,22.4,26.1,43.2
Maryland,16,19.2,32.2
Massachusetts,18.3,20.8,39.1
Michigan,20.5,27.1,41.4
Minnesota,15.1,19.4,36.1
Mississippi,23.3,37.5,53.4
Missouri,20.4,32,47.1
Montana,20.6,25.5,45
Nebraska,13.7,21.2,39.1
Nevada,18,35.4,48.6
New Hampshire,16.9,21.2,34.5
New Jersey,16,19.9,38
New Mexico,19.1,28.3,45
New York,15.1,21.9,40.7
North Carolina,18.8,27.4,45.6
North Dakota,18.5,23.9,42.5
Ohio,19.9,26.1,41.4
Oklahoma,23.9,39.8,51.9
Oregon,20.3,25.3,44.1
Pennsylvania,20.2,25.6,41.9
Rhode Island,17.3,25.8,38.5
South Carolina,23,36.1,46.5
South Dakota,18.2,22.8,41
Tennessee,21,33.9,45.7
Texas,19.3,28.3,42.3
Utah,17.2,22.6,39.2
Vermont,15.8,20.4,36.9
Virginia,17.2,20.9,37.7
Washington,16.4,22.9,35.8
West Virginia,22.4,38.9,51.6
Wisconsin,17.1,21.9,33.2
Wyoming,17.5,24.2,41.2
