state,Male,Female
Alabama,28.7,33.5
Alaska,20.8,21.5
Arizona,23.7,24.9
Arkansas,29.4,33.2
California,20.7,24.5
Colorado,17.5,21.6
Connecticut,19.5,22.1
Delaware,23.9,23.5
District of Columbia,20.7,23.3
Florida,24.8,26.7
Georgia,22.2,27.3
Hawaii,18.4,19.2
Idaho,27.8,28.6
Illinois,21.2,24
Indiana,25,28.8
Iowa,20.7,22.8
Kansas,23.4,28.1
Kentucky,33.3,32.7
Louisiana,29.6,35.5
Maine,25.9,28.3
Maryland,19.4,19.9
Massachusetts,21.3,23.8
Michigan,24.1,27.9
Minnesota,19.4,20.5
Mississippi,31.3,34
Missouri,27.9,29
Montana,26.5,25.9
Nebraska,19.6,21.1
Nevada,29.2,27.7
New Hampshire,18.7,23.8
New Jersey,20.3,21.4
New Mexico,25.2,27.3
New York,20.2,22.5
North Carolina,24.9,27
North Dakota,23.1,25.5
Ohio,24.4,26.5
Oklahoma,32,35
Oregon,24.6,27.2
Pennsylvania,23.8,27.2
Rhode Island,21,25.8
South Carolina,28.6,33.1
South Dakota,21.6,25.5
Tennessee,27.5,30.8
Texas,24.6,27.2
Utah,20.7,24.5
Vermont,20.1,21.5
Virginia,20.8,22.6
Washington,20.2,23
West Virginia,31.3,33.4
Wisconsin,20.1,22.5
Wyoming,22.5,24.7
