year,lawsuits,state
2013,2722,Total
2013,995,California
2013,816,Florida
2013,125,New York
2014,4436,Total
2014,1866,California
2014,1553,Florida
2014,212,New York
2015,4789,Total
2015,1659,California
2015,1338,Florida
2015,366,New York
2016,6601,Total
2016,2458,California
2016,1663,Florida
2016,543,New York
2017,7663,Total
2017,2751,California
2017,1488,Florida
2017,1023,New York
2018,10163,Total
2018,4249,California
2018,1941,Florida
2018,2338,New York
2019,11053,Total
2019,4794,California
2019,1885,Florida
2019,2635,New York
2020,10982,Total
2020,5869,California
2020,1208,Florida
2020,2238,New York
2021,11452,Total
2021,5930,California
2021,1054,Florida
2021,2774,New York
